Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),0.8402507725951186,0.9562262715097908,0.9999012944315514,0.8461508702483795,0.9563120366742388,0.9562854900799627,0.8441301882773586,0.8441301882773586,0.9566818794348689,0.05816869822500584,0.9996516180516642,0.6047449226387972,0.9999012944315514,0.9988041351479946,0.996649269633427,0.9587180801131906,0.9988024412267613,0.021537170754999804,0.021537170754999804,0.8548112203355764,0.01
HONEYWELL INTERNATIONAL INC,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),0.8679763962102309,0.9820253722250446,0.999887245054661,0.871559602378564,0.9820511735907239,0.9820340396573318,0.8693716109833107,0.8693716109833107,0.9821797358661458,0.0591751636453821,0.9996020387975201,0.6088967783171196,0.999887245054661,0.9986336607967513,0.9961860350205367,0.9830063533669217,0.9986338010430075,0.021657901269569534,0.021657901269569534,0.8799466342890075,0.04
GENERAL ELECTRIC CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),0.8636173515527189,0.97961905825957,0.9997074946953016,0.8696455949334102,0.9797137839850679,0.9796949758248701,0.8674834614749974,0.8674834614749974,0.9798251569064745,0.059807596478834914,0.9989675570614083,0.6064949605651991,0.9997074946953016,0.9964531157368182,0.9901022204379111,0.980735829633627,0.9964542867694305,0.023202980551534972,0.023202980551534972,0.8780500185610948,0.07
SOUTHWEST AIRLINES,UNITED STATES OF AMERICA,Airlines,Air transport (62),0.7469123169816859,0.8497676953140646,0.9967524101600194,0.7441364273872403,0.8558447438414113,0.8557876831059684,0.7422448375175177,0.7422448375175177,0.8574480484032608,0.024948815447296834,0.9753603430618953,0.6082276125654469,0.9967524101600194,0.999982189246885,0.730629072604305,0.8635142599302535,0.9999807878271673,0.022885045558812718,0.022885045558812718,0.7509952233381667,0.05
ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),0.8289389591804245,0.9375169959757745,0.9987285208052292,0.8304519347826176,0.9397310740053758,0.9397054869439699,0.8282730592337969,0.8282730592337969,0.9401992727475772,0.053403426483037045,0.9903531853533214,0.6087016885734345,0.9987285208052292,0.9912472870406416,0.8945369197986474,0.9426216141451977,0.9912456532458966,0.030162959064216423,0.030162959064216423,0.8381503305105429,0.05
AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),0.6261352467724572,0.7045077016803091,0.9933727350049026,0.6149494065052986,0.7152492514121275,0.714974911373434,0.6159923871998207,0.6159923871998207,0.7171114881804391,0.04638889899206686,0.9497185784841015,0.6073466642138361,0.9933727350049026,0.9470791637088094,0.4503412494981625,0.7290610530898405,0.9470790025893739,0.0772558293168959,0.0772558293168959,0.6204609919623282,0.04
DELTA AIR LINES INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),0.6428829024112263,0.7346187736757895,0.9931933264280167,0.6343943340219299,0.7460664830121032,0.7458201473279489,0.6350356388339422,0.6350356388339422,0.7487286251189794,0.0,0.9483574715414608,0.6077704327655248,0.9931933264280167,0.9996437849377006,0.4354714184243847,0.7583879408470249,0.9996456421455301,0.025603347355255643,0.025603347355255643,0.6390323414256972,0.05
AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases,Chemicals nec,0.6915616414447924,0.8105362401634143,0.9985495991927521,0.7034248724508302,0.8106548029801081,0.8105133448576858,0.7032687817717097,0.7032687817717097,0.8122391688754439,0.058293933863539156,0.9957576084484566,0.587882878275604,0.9985495991927521,0.9960205688754545,0.9926963342700966,0.8211011595688236,0.9960209455377594,0.023995528901393014,0.023995528901393014,0.7136335855317805,0.11
MINERALS TECHNOLOGIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8744035298460207,0.9921665679406885,0.9997087680618615,0.8814811830183091,0.9921581427166251,0.9921592475453359,0.8790215718375485,0.8790215718375485,0.9922082551812424,0.059009587602219735,0.9991482416854974,0.6063498632749089,0.9997087680618615,0.999122184310762,0.9985330903925141,0.992404257345372,0.9991226441073063,0.021429327205468415,0.021429327205468415,0.8897132567235259,0.07
KRATON CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8745077736403766,0.9912495757593643,0.999706581258957,0.880556103908238,0.9912506595308653,0.9912435635863673,0.8782098134568054,0.8782098134568054,0.9913063303830548,0.059318084100610284,0.9991417954344807,0.6072040137767379,0.999706581258957,0.9990153197920721,0.9985330903925141,0.9916886532766775,0.9990159098137914,0.021533949013740217,0.021533949013740217,0.8888426285791636,0.01
CELANESE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8622804735065287,0.9760359376613958,0.9989759834144156,0.8659893448279654,0.9761016054589085,0.9760864840251078,0.8637743247591485,0.8637743247591485,0.9762594685454868,0.05991755174057047,0.9970047684245941,0.6083658460502448,0.9989759834144156,0.9970561369494251,0.994858095796918,0.9773589765682749,0.9970562681848553,0.02315651965126516,0.02315651965126516,0.874440859840149,0.01
