,Company,Country,Ticker,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Gender Equality Funds: Has Equileap gender equality score,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Weapons Free Funds: Military contractors screen,Weapons Free Funds: Nuclear weapons screen,Weapons Free Funds: Controversial weapons screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Beta Value,Company_Name,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
0,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC,Production of electricity by hydro,0.583146882,0.693040029,0.998431476,0.606206518,0.685114721,0.684842704,0.609608489,0.609608489,0.685167424,0.135972339,0.988226491,0.570893382,0.998431476,0.940288178,0.940258176,0.678305769,0.940286432,0.078993365,0.078993365,0.610689242,0.0
1,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC,Production of electricity by hydro,0.574089244,0.679034818,0.998240991,0.59250405,0.671261947,0.670979026,0.596073963,0.596073963,0.671442978,0.13490641,0.986796751,0.574375838,0.998240991,0.940288178,0.933000834,0.665214477,0.940286432,0.078931983,0.078931983,0.597063245,0.01
2,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC,Production of electricity by hydro,0.475027349,0.565030029,0.997956011,0.493292189,0.551805376,0.551418538,0.499470125,0.499470125,0.551209655,0.192218812,0.984657638,0.567180908,0.997956011,0.896544968,0.922145703,0.53741267,0.896544584,0.121922728,0.121922728,0.49507003,0.0
3,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC, Production of electricity by hydro ,0.376375893,0.438486162,0.997636765,0.390402057,0.411854081,0.411354567,0.400822178,0.400822178,0.409024558,0.291839444,0.982261339,0.565503926,0.997636765,0.840838021,0.909978074,0.368161333,0.840837822,0.176685717,0.176685717,0.38331737,0.0
4,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC, Production of electricity by hydro ,0.284800915,0.338050749,0.99769155,0.299601111,0.306310898,0.30571484,0.31246249,0.31246249,0.303098786,0.329916129,0.982672572,0.558320749,0.99769155,0.819615237,0.912062629,0.254943337,0.819614775,0.197604652,0.197604652,0.289931478,0.0
5,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC, Production of electricity by hydro ,0.596303144,0.693239765,0.998866477,0.613167039,0.681004606,0.680728386,0.617351546,0.617351546,0.680001067,0.170867305,0.991491707,0.577680796,0.998866477,0.920419011,0.956826534,0.663753702,0.920418911,0.098702622,0.098702622,0.614937272,0.0
6,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC, Production of electricity by hydro ,0.556411681,0.609043019,0.999284029,0.53649419,0.592228292,0.591859494,0.542911069,0.542911069,0.590923153,0.203427258,0.994625817,0.607310642,0.999284029,0.904501286,0.972730922,0.568719667,0.904502693,0.114513402,0.114513402,0.536267969,0.0
7,1st NRG Corp,United States,NRG,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,NRG ENERGY INC, Production of electricity by hydro ,0.553484943,0.629489309,0.99914147,0.556222327,0.612769701,0.612429036,0.562213596,0.562213596,0.611341373,0.200430484,0.993555835,0.587350462,0.99914147,0.907155088,0.967295636,0.587842168,0.907156107,0.111854617,0.111854617,0.555619192,0.0
8,Abbott Laboratories,United States,ABT,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.745,ABBOTT LABORATORIES,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",0.873177379,0.988576069,0.99971734,0.877909088,0.98874256,0.988736329,0.875549163,0.875549163,0.988840057,0.05722009,0.998040624,0.608474027,0.99971734,0.999150173,0.99036472,0.989347748,0.999150395,0.02057404,0.02057404,0.886214337,0.05
9,Abbott Laboratories,United States,ABT,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.745,ABBOTT LABORATORIES,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",0.873231307,0.98871151,0.999729087,0.878049372,0.988872514,0.988866696,0.875683271,0.875683271,0.988967886,0.057320226,0.998122055,0.608393694,0.999729087,0.999114551,0.99076619,0.989469464,0.999114105,0.020650175,0.020650175,0.886353801,0.05
