Company_Name,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
3M CO,Activities of membership organisation n.e.c. (91),0.840250773,0.956226272,0.999901294,0.84615087,0.956312037,0.95628549,0.844130188,0.844130188,0.956681879,0.058168698,0.999651618,0.604744923,0.999901294,0.998804135,0.99664927,0.95871808,0.998802441,0.021537171,0.021537171,0.85481122,0.01
HONEYWELL INTERNATIONAL INC,Activities of membership organisation n.e.c. (91),0.867976396,0.982025372,0.999887245,0.871559602,0.982051174,0.98203404,0.869371611,0.869371611,0.982179736,0.059175164,0.999602039,0.608896778,0.999887245,0.998633661,0.996186035,0.983006353,0.998633801,0.021657901,0.021657901,0.879946634,0.04
GENERAL ELECTRIC CO,Activities of membership organisation n.e.c. (91),0.863617352,0.979619058,0.999707495,0.869645595,0.979713784,0.979694976,0.867483461,0.867483461,0.979825157,0.059807596,0.998967557,0.606494961,0.999707495,0.996453116,0.99010222,0.98073583,0.996454287,0.023202981,0.023202981,0.878050019,0.07
SOUTHWEST AIRLINES,Air transport (62),0.746912317,0.849767695,0.99675241,0.744136427,0.855844744,0.855787683,0.742244838,0.742244838,0.857448048,0.024948815,0.975360343,0.608227613,0.99675241,0.999982189,0.730629073,0.86351426,0.999980788,0.022885046,0.022885046,0.750995223,0.05
ALASKA AIR GROUP INC,Air transport (62),0.828938959,0.937516996,0.998728521,0.830451935,0.939731074,0.939705487,0.828273059,0.828273059,0.940199273,0.053403426,0.990353185,0.608701689,0.998728521,0.991247287,0.89453692,0.942621614,0.991245653,0.030162959,0.030162959,0.838150331,0.05
AMERICAN AIRLINES GROUP INC,Air transport (62),0.626135247,0.704507702,0.993372735,0.614949407,0.715249251,0.714974911,0.615992387,0.615992387,0.717111488,0.046388899,0.949718578,0.607346664,0.993372735,0.947079164,0.450341249,0.729061053,0.947079003,0.077255829,0.077255829,0.620460992,0.04
DELTA AIR LINES INC,Air transport (62),0.642882902,0.734618774,0.993193326,0.634394334,0.746066483,0.745820147,0.635035639,0.635035639,0.748728625,0,0.948357472,0.607770433,0.993193326,0.999643785,0.435471418,0.758387941,0.999645642,0.025603347,0.025603347,0.639032341,0.05
AIR PRODUCTS & CHEMICALS INC,Chemicals nec,0.691561641,0.81053624,0.998549599,0.703424872,0.810654803,0.810513345,0.703268782,0.703268782,0.812239169,0.058293934,0.995757608,0.587882878,0.998549599,0.996020569,0.992696334,0.82110116,0.996020946,0.023995529,0.023995529,0.713633586,0.11
MINERALS TECHNOLOGIES INC,Chemicals nec,0.87440353,0.992166568,0.999708768,0.881481183,0.992158143,0.992159248,0.879021572,0.879021572,0.992208255,0.059009588,0.999148242,0.606349863,0.999708768,0.999122184,0.99853309,0.992404257,0.999122644,0.021429327,0.021429327,0.889713257,0.07
KRATON CORP,Chemicals nec,0.874507774,0.991249576,0.999706581,0.880556104,0.99125066,0.991243564,0.878209813,0.878209813,0.99130633,0.059318084,0.999141795,0.607204014,0.999706581,0.99901532,0.99853309,0.991688653,0.99901591,0.021533949,0.021533949,0.888842629,0.01
